name,descriptions,rel_aesthetics,key_colors,brands
2000s Autumn,,"Dark Naturalism,Dark Y2K,Fairy Grunge,Fantasy,FantasY2K,Krushclub,Vampire,Vintage,Werewolf","Brown, dark green, grey, black, dark red, beige, earth tones","H&M, American Eagle, Lucky"
Aristocrat,"Aristocrat fashion is related to ,Ouji,, ,Lolita, and Dandy fashion and it can also be seen as the Japanese counterpart of ,Romantic Goth, in the west. For example, when compared to ,Lolita,, it has a much more mature style and rejects cutesy motifs such as bows, prints, lace, etc. , ,
Some common elements of Aristocrat outfits include:
,Long skirts,
,Long sleeve blouses,
,Androgynous pants and dresses,
,Waistcoats,
,Ruffled and coullared blouses,
,High corseted waists,
,Corsets,
,Tailcoats,
,Fitted jackets,
,Frilly shirts,
,Veils,
,Brass button accents,
,Leather high-heeled boots,
,Breeches,
,Long flowing coats,
,Top hats with feathers,
,Accessories featuring roses, crosses, jewels, fleur-de-lis, etc.,Media,[,]","Angura,Goth,Gothic,Gothic Lolita,Medieval,Lolita,Ouji,Romantic Goth,Steampunk,Tanbi Kei,Vampire,Victorian,Victorian Goth","Mainly black, white, and red, however dark colours and minimal amounts of gold can be used as well.",
Arcadecore,"Arcadecore fashion can be very low-key or very bright and flashy, but can draw inspiration from Mallgoth, Nostalgiacore, Glowwave, and Vaporwave.
,T-Shirts/Hoodies/Hats with references to retro video games and nostalgic properties from the 70s/80s/90s/2000s,Skinny jeans, shorts, or skirts,
,Phat pants (JNCOs, Kikwears, UFOs, or Ghasts),
,Cheap plastic jewelry you'd get at a ticket booth,
,Glowstick Jewelry,
,Sneakers/Trainers (bonus points if they're light-up sneakers),
,UV-reactive clothing and dyed hair,
,Fishnets,
,Striped armbands,Media,[,]","Analog Horror,Animecore,Carnivalcore,Casino,Cuddle Party,Cybercore,Cyberdelic,Cybergoth,Cyberpunk,Future Funk,Glitch,Glowwave,Hot Topic,Kidcore,Mallgoth,Nostalgiacore,Old Web,Pixel Medieval Fantasy,Raver,Scene,So Retro,Stoner,Synthwave,Tweencore,Vacation Dadcore,Vaporwave,80 Thousand","Neons, fluorescent colors, and black",
Art Hoe,"Typical Art Hoe fashion items include the following:
,Fjallraven Kånken Bags,
,Anything associated with ""Art"" culture or things printed with artists' works on them,
,Mom jeans,
,Graphic tees,
,Converse sneakers of any colour,
,Art socks,
,Art supplies, paint,
,Overalls/painted overalls,
,Shirts with thin horizontal stripes,
,Striped meadow shirts,
,Any mustard yellow clothing,
,Vans Old Skool, Checkered slip-on, Classics,
,Doc Martens or Mary Janes,
,Colorful hair clips,Some typical hairstyles include:
,Messy buns,
,Bob cut,
,Classic Ponytail,
,Pigtails,
,Microbangs,Art Hoes are drawn to a vintage aesthetic, often shopping at thrift stores, Urban Outfitters, and even some lesser-known fashion brands. DIY culture is popular among Art Hoes as well, and you will find people with this aesthetic painting or embroidering their designs on their clothing.
,Shops and Brands,[,],Fjallraven,
,Stella Cases,
,Birdwithcowboyhat,
,Vans,
,Dr. Martens,
,Copic,
,Polaroid,
,Art Hoe | ItGirl Shop,
,Art Hoe | Etsy, 	 , 	, 	, 		,	, ,  	 	, 		 			, 		 		 			,ESSENCE - Black Girl Magic- Meet the ArtHoe Collective, 		 		 	, ,Visuals,[,]","Afrofuturism,Art Academia,Cheiron Crush,Cottagecore,Craftcore,E-Boy,Hippie,Indie Sleaze,Jamcore,MTV Green Sky,Normcore,Peoplehood,Photorealism,Plant Mom,Pop Art,Scrapbook,Softboy,Surf Crush,Urbancore,Vorticism,VSCO Girl, ,indie, ,twee",Original: Primary colours,"Fjallraven, Polaroid, Copic, Dr. Martens, Vans"
Art Deco,"Art Deco fashion followed a lot of the same rules laid out for its art and architecture, introducing lots of geometric shapes, long lines, and exaggerated accessories. Art Deco fashion included lots of evening gowns, skirts, hats, and bias-cut dresses. For women, the Art Deco period was the time of the ""flapper""; a woman who bobbed their hair, loved jazz music, wore excessive make-up, drank, smoked, drove, had casual sex, and generally took a proverbial piss on social norms at the time. The Flapper sub-aesthetic in Art Deco was forever immortalized by the legendary cartoon character, Betty Boop.
,White charmeuse dress from Journal des Dames et des Modes, illustrated by Robert Pichenot, 1913,Evening dress from Journal des Dames et des Modes, illustrated by George Barbier, 1913,Long tubular evening dress, illustrated by George Barbier, 1920,Illustration called Where There's Smoke There's Fire, by Russell Patterson, 1920s, showing a fashionably dressed flapper,Josephine Baker, unknown date. Notice the hairstyle,Dresses from December 1923,Outfits from 1926,Evening dress, 1932,Music,[,]","Aeropittura,Art Academia,Decopunk,Dieselpunk,Flapper,Nautical,Neo-Breton Style,Modernisme,Preppy,Taisho Roman,Vintage","Black, gold, metallic",
Arts and Crafts Movement,,"Victorian,Art Nouveau,Modernisme,Pre-Raphaelite",,
Art Nouveau,,"Aestheticism,Arts and Crafts Movement,Art Academia,Ballet Academia,Bohemian,Fairy Tale,Fairycore,Modernisme,Romantic Academia,Vectorbloom,Vintage","Warm shades of blue, silver, orange, gold, and pink",
Artificial Nature,,"Abstract Tech,Biopunk,Cyberparadism,Cyberprep,Cyberpunk","Greys, whites, neon colors, non-natural colors",
Artcore,,"Angelcore, , ,Anime New Moon,Baroque, , ,Breakcore, , ,Cottagecore, , ,Dreamy, , ,Ethereal, , ,Fairycore, , ,Gothic, , ,Hermaphroditus, , ,Italian Renaissance, , ,Lolita, ,Raver","White, dark blue, light blue, light pink, grey, purple, pastel yellow and other cold colours",
Arabian Nights,,"Ancient Egypt,Baroque,Desertwave,Hellenic,Orientalism,Romanticism,Royalcore","Black, blue, violet, yellow",
Arabfunny,,"Captchacore,Xpiritualism,Bastardcore,Deep Fried Meme,Funwaacore,MLG,Surreal Memer,Edgy Meme",,
Art Academia,"What you wear doesn't matter as long as you have an interest in studying arts and attend an educational department. Presumably, as for many students, comfort and availability are prioritised. Maybe having a couple of pockets to carry some paint tubes and brushes, or a ponytail, so the hair doesn't touch the canvas sound reasonable. Other examples can be:
,Collared shirts with puffy sleeves,
,Berets,
,Oxfords,
,Corduroy,
,Overalls,
,Braids, ponytails and messy buns,
,Wool sweaters,
,Loose t-shirts,
,Earthy colors,Movies,[,]","Art Hoe,Ballet Academia,Chaotic Academia,Dark Academia,Figuration Narrative,Light Academia,Musical Academia,Studyblr,Studyplace,Writer Academia","Cadmium yellow, dark browns, white, the whole rainbow",
Magewave,,"Wizardcore,Acidwave,Fantasy","Bright, generally primary colors, often with an emphasis on blues and purples.",
Mad Scientist,,"Science Academia,Labcore","Neon purple and green, white, steel, turquoise, blue",
Flop TikTok,"Some common characteristics of Flop TikTok fashion include:
,Pink clothing,
,Skirts,
,Unicorn clothes,
,Heels,
,Boots,
,Sunglasses,
,Extremely long nails,Lingo,[,]","Baddie,Barbiecore,Bimbocore,Bubblegum Bitch,McBling,VSCO Preppy","Pink, white, purple, orange, red, black, blue","TikTok, Roblox, Vogue, South Park, Family Guy, Total Drama (Season 1, Classic)"
